nilai_belanja,jumlah_cicilan,jumlah_item,frekuensi_belanja,status_batal
4458324,2,3,49,0
3186729,3,9,29,0
947421,7,8,13,1
172409,7,1,47,0
2066716,12,6,17,1
2400770,4,9,45,0
819598,5,7,32,0
3317824,5,4,48,0
3381068,6,1,22,0
3306415,9,2,4,1
924371,2,5,5,0
2882868,5,5,37,0
3922998,12,8,41,1
1023548,3,6,49,0
3394014,4,8,13,0
1263475,10,2,34,1
3520495,6,3,45,0
3009034,12,6,22,1
4624293,8,3,23,0
93585,1,6,3,0
3107213,10,6,42,1
2589448,8,2,34,1
159556,11,7,32,0
1625557,7,2,45,0
4077419,1,6,49,0
4444539,2,1,21,0
2173091,3,3,46,0
2059021,1,2,44,0
1251482,9,7,21,0
592335,8,4,44,0
3483977,2,8,11,1
4320070,9,6,39,0
3610920,7,4,4,1
2534413,9,5,1,0
2957360,6,9,28,0
2832592,6,7,24,0
2285000,11,9,35,0
4372252,4,7,13,0
452690,10,1,47,0
4743350,10,8,34,1
2598421,2,4,11,0
4266263,7,3,36,0
3856618,5,7,17,1
2004109,11,3,35,0
4472880,6,8,18,1
3162754,2,6,40,0
1434250,5,5,22,0
4075717,10,4,24,0
111087,4,8,19,0
1546176,9,8,37,0
1936013,6,1,39,0
4684096,2,9,21,1
89353,1,5,8,0
3410011,5,4,28,1
4309622,9,6,5,0
466880,6,6,17,0
863168,10,2,37,0
275281,12,8,36,0
3167697,7,7,19,0
3832875,5,1,27,0
3045765,10,5,34,0
319536,6,6,11,0
4422093,5,4,45,1
1611729,11,2,47,1
2272809,9,4,12,0
731669,6,1,21,0
3914822,11,7,11,1
1169043,8,2,39,0
3379462,2,2,28,0
2256903,12,9,5,1
1791093,9,5,17,1
2608231,5,2,20,1
4350385,7,9,41,0
3130389,10,9,46,0
1711909,1,1,12,0
2706138,10,3,6,1
160078,5,4,17,0
1965631,12,7,19,1
1454104,10,4,26,1
2058187,2,2,48,0
1709066,12,7,44,1
4223125,6,6,44,1
2198815,11,3,32,0
4074066,1,6,6,0
4556259,3,6,36,0
4185314,5,5,38,1
960681,4,4,11,0
1657618,3,1,33,0
3946830,10,6,24,0
4386787,5,2,23,0
2805423,11,3,15,0
2083350,8,8,27,0
2361987,11,6,11,1
4646200,4,3,17,1
4721399,1,7,14,0
121295,11,4,27,0
793974,7,9,18,0
3495376,8,5,28,0
3662600,3,3,47,0
875816,6,2,47,0
424705,2,2,4,0
3767270,7,3,7,0
1906926,8,2,45,0
1708845,6,4,35,0
2076793,6,2,48,0
604594,5,9,9,0
197718,8,2,8,0
4889567,1,9,45,0
3554473,10,6,17,1
2254664,4,1,17,0
4391747,4,4,49,0
1569163,3,1,33,0
4617920,3,6,32,0
736976,4,4,8,0
2522189,11,3,19,0
3191259,1,3,38,0
167796,11,9,3,0
1291082,11,6,5,1
4942680,2,9,13,1
4942306,9,5,47,0
4164639,10,2,46,1
2738130,2,8,31,0
3724515,5,5,16,1
1629159,9,2,32,0
957317,9,4,22,0
2535367,8,9,29,0
4565488,1,4,22,0
718234,1,4,43,0
428480,9,2,3,0
841971,11,6,10,0
551157,8,2,42,0
4428727,10,7,21,0
4174499,9,3,16,1
2663501,7,3,12,1
2971944,3,5,2,0
4377576,3,3,41,0
3133153,2,2,24,0
2849487,5,9,35,0
2954941,12,2,30,1
2150021,12,2,30,0
1410828,3,8,47,0
668467,6,9,35,0
2185619,2,7,19,0
4005488,12,3,8,1
4724351,3,9,26,0
1757923,5,3,49,0
178391,12,5,40,1
1067026,11,9,7,0
4351754,11,3,30,1
2319042,1,7,7,0
2033509,1,1,3,0
166381,10,4,1,0
1571701,9,4,36,0
1670197,7,7,25,0
2281660,1,8,37,0
1828226,12,1,1,0
1249386,8,5,15,1
3488618,3,7,37,1
2064484,8,4,13,0
2987629,5,4,40,0
2507184,1,4,8,0
3193963,7,6,5,1
4153022,5,7,9,1
1468175,6,2,1,0
3856688,6,5,36,0
4974207,8,4,35,1
3822962,9,3,2,1
4241423,2,7,40,0
4091776,9,6,23,1
2777423,12,7,9,0
1810427,11,5,34,1
4368427,10,6,46,0
3501356,9,5,14,0
1181565,10,7,4,1
3494084,10,2,30,1
2977109,7,5,31,1
4422578,1,6,38,0
2559079,7,6,11,0
2937004,10,5,35,0
1981760,5,7,8,0
181373,6,8,3,0
165294,10,7,14,0
3182514,7,5,13,0
4892611,5,1,45,1
4385868,7,5,32,1
1476388,9,2,34,0
3901424,3,5,45,0
2265167,8,5,19,0
3936402,2,2,38,0
739944,11,5,16,0
738105,7,4,2,0
2660910,2,1,40,0
2039173,4,3,17,0
3130761,7,1,34,1
1464466,3,5,42,0
495101,2,4,16,0
1155534,11,7,38,1
3277802,10,5,2,1
1633593,7,4,2,0
1853649,1,2,26,0
1274665,8,4,13,0
2344544,3,2,47,0
4403127,12,8,31,1
548863,12,3,34,1
417654,2,9,39,0
2726188,3,4,3,0
3345990,5,6,8,0
1542785,11,5,23,0
847079,8,1,14,1
4908380,10,9,27,1
4092787,7,1,29,1
3978083,7,8,39,1
2749015,12,9,39,1
3464527,7,9,1,1
1336125,8,1,17,1
3790047,1,2,41,0
498982,4,1,30,0
1222622,6,2,13,0
2553771,9,8,21,0
3227825,2,5,19,0
1046161,1,7,19,0
4233839,10,2,25,0
716326,12,8,22,0
699150,2,6,31,0
3425957,7,8,17,0
168834,3,1,23,0
3289576,10,1,32,1
3248649,2,7,10,0
4529125,11,8,10,1
4299913,7,3,36,0
4472201,2,5,8,0
1129600,3,1,20,0
1075715,11,7,32,1
1488533,7,5,14,0
2331230,4,8,28,0
3553157,1,8,46,0
511243,5,9,24,0
2108852,12,7,15,0
3309360,9,1,22,1
2035588,8,3,30,0
301451,12,8,4,0
4247355,9,3,13,0
1802683,10,8,23,0
1054646,9,1,8,0
1021525,7,5,18,0
3917500,4,4,12,0
4433711,5,5,31,0
499395,1,8,14,0
1310386,1,4,34,0
3104390,3,4,18,0
3429569,8,3,34,1
2950603,2,7,11,0
3017197,4,3,41,0
272866,2,3,12,0
1185248,5,5,49,0
1696711,9,5,15,0
1473286,1,6,31,0
3745961,5,8,49,0
3227945,9,6,29,0
3463821,1,1,26,0
233062,9,8,18,0
2541518,8,8,32,0
2891992,4,9,22,0
4344539,12,9,38,1
3270468,11,2,17,1
4994505,10,2,23,1
853328,5,3,24,0
4112958,5,1,8,0
1093233,11,4,41,1
1761741,12,4,6,1
579525,6,9,5,0
226615,7,9,44,0
4431932,8,9,29,0
2785988,8,7,28,0
4651020,11,2,11,0
3749391,2,5,1,0
591252,9,4,43,1
1736293,7,8,19,0
3662610,4,2,9,1
2214367,4,6,27,0
1954050,11,5,34,1
194356,8,2,44,1
4448165,4,1,4,0
3149320,6,8,36,0
405612,5,2,18,0
3650333,3,7,15,0
59435,10,9,13,0
4691860,11,9,19,1
1798014,2,8,49,0
3771309,9,9,6,1
4323085,10,2,48,1
2338627,9,6,12,1
814121,1,4,37,0
1219748,10,4,17,0
3552630,3,5,23,0
2632115,8,3,26,1
1157677,6,1,29,0
338790,5,8,33,0
2694489,5,5,27,1
1458836,6,3,25,0
1691249,7,7,10,0
4894723,1,7,47,0
3743305,9,1,23,1
4516271,3,9,21,0
4435536,4,2,21,0
1402695,10,5,43,1
2156692,1,5,13,0
1639228,11,8,37,0
3593555,10,8,33,1
2699103,3,7,24,0
1150567,2,7,44,0
2335903,2,6,11,0
3882065,1,6,17,1
4863296,8,9,4,1
99115,3,6,47,0
3387690,3,2,25,0
771747,6,2,30,0
4780530,8,5,9,1
3099851,9,4,21,1
2873100,9,2,20,1
3034626,4,3,19,1
1454330,5,7,19,0
301492,2,8,12,0
4085851,11,6,37,0
541072,9,5,42,0
1136880,8,1,17,0
4749303,3,8,37,1
4575897,11,3,48,1
2105723,12,6,39,1
2298988,9,3,28,0
4353244,3,7,41,0
1364093,9,7,35,0
2814673,2,9,47,0
3026242,12,5,48,1
4630081,10,8,18,1
2698790,9,8,14,0
3813024,8,1,35,1
2696791,9,5,44,1
2760108,5,3,41,0
4883177,11,1,7,1
3403597,11,4,41,1
115953,2,8,13,0
4039618,8,3,18,1
2647480,12,2,37,0
4247571,6,9,13,0
2972097,8,5,36,1
207164,11,7,31,0
4779930,5,2,2,1
2278636,10,9,16,1
581831,2,9,9,0
3039475,6,4,9,1
3256420,5,4,38,0
3415884,12,6,11,1
3419720,12,6,22,1
4761075,5,1,33,0
2690328,1,9,36,0
741095,2,2,45,0
883727,8,5,23,1
1212928,3,9,45,0
2233151,10,4,45,1
3213683,3,3,34,0
4020001,8,7,9,0
120640,8,6,24,0
4440886,2,8,8,0
2050991,8,3,7,0
4172263,11,5,36,1
4644877,1,4,18,1
4305780,6,4,3,1
1405531,8,4,28,0
725510,3,8,6,0
3791196,8,6,44,1
2784296,12,3,44,1
3381869,1,5,21,0
948320,11,6,28,1
4879040,11,5,40,1
2057635,9,6,1,1
1276607,11,8,36,1
4113960,9,7,21,0
3314908,5,5,43,1
4310538,10,6,35,1
1662818,4,4,13,0
2325504,11,9,49,1
3275187,6,4,10,1
4654299,12,1,44,1
4710456,7,7,47,0
4148502,5,7,10,0
3671581,11,4,46,1
4296238,10,3,13,1
475523,9,8,37,0
3649865,3,5,38,1
4249790,7,7,24,0
1089458,10,4,2,0
3822811,10,4,22,0
2367336,11,8,17,0
4210435,5,8,36,0
2813642,7,2,14,0
1859891,2,2,10,0
3838340,4,3,35,0
2469862,2,3,25,0
247775,12,1,3,0
2436488,7,3,47,1
837494,2,6,38,0
1251193,11,8,17,1
3993334,1,6,12,0
3059758,9,5,24,0
583636,1,4,29,0
3088370,8,3,43,0
4282406,2,4,25,0
4318764,12,7,36,1
3285658,8,1,26,0
1826203,3,7,38,0
2326360,6,1,1,0
4458249,3,2,20,1
4476219,7,4,28,0
2584629,10,1,16,0
575830,9,9,47,0
1382397,2,6,17,0
2186233,12,1,40,0
768216,12,1,28,1
567313,5,6,12,0
3715060,6,4,27,0
3512565,4,4,42,0
1387682,4,6,47,0
1336643,4,7,30,0
1583584,2,9,41,0
444540,4,5,34,0
2665075,11,9,37,1
4989003,1,4,6,0
4492987,12,2,7,1
76790,6,3,32,0
1741738,1,1,32,0
2958873,10,6,25,1
498345,6,6,33,0
799074,1,1,7,0
3735501,6,3,12,0
1929490,10,5,16,1
3937857,8,3,16,0
3226083,11,3,43,1
1504908,2,3,36,0
2303694,2,5,13,0
3369144,12,5,7,1
355062,4,4,36,0
4999499,11,1,47,1
2437312,3,5,9,0
3743976,4,5,32,0
4458224,12,4,11,1
4085493,7,6,8,1
3438532,11,4,33,1
1475541,1,7,23,0
1921403,6,7,25,0
4898287,3,2,8,0
871052,11,3,45,0
1857150,10,1,22,1
2275300,7,8,4,0
1905567,10,9,40,0
1584837,2,4,3,0
3551268,2,6,29,0
3388442,4,9,41,1
4976203,1,6,29,0
4504051,3,9,34,0
4859954,9,4,34,1
473570,7,8,28,0
2423139,7,9,13,0
908158,11,4,15,0
2164792,4,5,23,1
102528,2,8,44,0
1923421,4,6,26,0
2648260,6,7,4,0
1467077,11,3,26,0
3345887,11,7,40,1
3368230,3,8,9,0
2302728,1,6,5,0
2535195,12,9,32,1
4310507,8,6,20,1
210775,12,9,11,0
2717867,5,4,15,0
1613299,5,8,32,0
3519401,11,4,28,0
3825803,4,2,22,0
1394027,6,9,41,0
4216500,3,5,17,1
841267,9,4,26,0
547562,5,2,44,0
3898693,3,1,7,1
4628238,11,7,42,1
4087776,1,6,26,0
2054168,10,2,25,0
4060912,12,8,10,1
4561732,6,4,45,0
4935211,2,8,19,0
2229996,3,7,11,0
1650396,1,5,13,0
3361149,9,8,8,1
172402,8,9,40,0
1216588,12,5,4,1
4682965,2,5,47,0
2546081,12,2,31,0
2727618,11,5,28,1
4817999,8,3,11,0
4707860,12,7,43,1
625278,9,5,1,0
1228049,1,8,49,0
3130201,5,1,47,1
4722311,8,3,38,1
3612737,11,3,24,1
3514442,2,9,47,0
1324732,4,5,31,0
3364692,7,9,41,0
4243398,3,9,46,0
4769607,12,1,26,1
1160389,5,2,49,0
77712,8,5,5,0
4121647,12,4,20,1
3962942,10,9,41,0
162816,3,7,11,0
1685156,4,6,33,0
185230,9,7,38,0
1816616,7,1,27,0
4513418,1,1,34,1
1433194,12,8,15,0
3151360,4,2,32,0
1931548,4,9,21,0
4395760,9,7,46,1
3301298,6,6,5,1
4515150,9,1,6,1
50404,12,1,38,0
4947590,6,2,22,1
1373483,6,6,18,0
1772320,5,6,14,0
4959764,5,2,10,0
2382517,2,1,46,0
4587090,8,5,13,1
3246340,8,5,31,1
213273,11,2,30,1
3904418,1,6,3,0
3702692,8,9,30,1
1137341,5,2,6,0
4027266,2,2,29,0
3081756,2,3,8,0
893523,6,7,44,0
596237,11,6,45,1
4945207,9,8,43,0
4090479,1,8,44,0
142193,12,6,33,0
3231915,6,3,17,0
4750254,9,3,48,0
1236887,8,1,11,0
3058038,11,7,13,0
558153,6,5,11,0
3384817,3,4,31,0
3632069,8,4,28,0
2765514,9,4,44,0
4931713,1,6,6,1
2708571,12,8,41,1
4884357,9,8,16,1
1729748,6,5,4,0
2273069,6,6,35,0
3495498,12,4,48,1
4942472,4,9,26,1
531680,1,8,12,0
2686694,10,1,11,1
3011293,8,2,37,0
4150673,2,9,25,0
1584026,12,8,18,0
365826,1,3,19,0
3517366,2,8,23,0
377359,1,1,38,0
3798603,1,4,18,0
4251253,9,3,26,1
2910337,1,6,6,0
367537,4,7,4,0
600222,10,4,44,0
2623619,6,7,29,1
2503752,7,9,34,0
1414133,2,2,17,0
1982247,6,3,43,0
1403038,7,5,43,0
300875,10,3,16,1
4707693,10,8,2,1
4314694,2,8,34,1
757689,2,8,8,0
4497794,10,9,13,1
1665952,7,4,42,0
1346516,12,5,8,1
2580179,1,5,30,0
1606617,8,8,32,0
3513351,11,7,36,1
1315040,3,9,47,0
1904971,11,8,30,1
700199,6,2,1,0
4084628,9,4,43,1
1899396,6,6,39,0
2741276,9,2,17,0
678861,7,7,20,0
2576954,9,3,24,0
711614,2,3,22,0
4923878,12,2,29,1
4743174,8,8,22,0
3407519,8,6,44,0
716997,2,1,9,0
1776351,12,1,37,0
1122647,4,7,10,0
1681107,11,8,36,0
1078455,7,5,37,0
1355794,11,5,28,0
2000367,4,4,28,1
1960705,4,6,42,0
1651596,6,6,43,0
3841481,10,3,21,0
4200276,6,9,24,0
2432357,10,7,42,1
3537124,3,1,40,0
2295131,9,7,2,1
4296049,12,5,8,1
141865,10,5,48,1
4094588,11,2,27,1
1122200,2,4,22,0
2170473,6,6,37,0
2550856,12,7,27,0
2956158,7,5,29,0
4118472,12,9,3,1
1272869,9,3,44,0
2333869,3,1,13,0
3175354,10,4,45,1
4132494,3,9,10,1
1479551,7,4,36,1
2331020,4,2,9,0
2806944,8,5,27,1
4832883,7,3,34,0
2337623,5,9,1,0
964032,7,4,32,0
4032588,3,6,25,0
1617438,12,2,29,0
967559,2,6,7,0
685605,6,3,49,0
4633897,2,9,3,1
865131,3,2,20,0
117661,6,9,20,0
2128007,5,5,30,0
1357506,8,8,35,0
2021206,9,2,35,0
2951614,11,6,49,1
3016422,3,3,39,0
3758654,12,5,27,0
168033,10,8,26,0
680265,3,1,14,0
2760309,3,5,17,0
2968258,6,3,18,1
1265502,1,4,45,0
4676038,7,2,29,1
1471796,12,9,20,1
2812779,1,3,27,0
2369049,5,2,18,0
3770464,10,9,4,1
2242614,8,7,1,0
820173,4,6,1,0
2719355,5,1,26,0
3462504,4,5,45,1
4903260,12,3,20,1
517010,12,1,23,0
1705016,4,4,10,0
1747900,12,2,11,0
4630497,8,2,41,0
4271038,2,3,41,1
973875,1,8,5,0
2173221,3,8,1,0
3930993,9,7,17,1
4781502,4,6,22,1
2618103,10,9,34,0
131264,5,4,45,0
73275,2,1,41,0
2743714,4,8,29,0
2510072,2,7,4,0
622735,2,7,5,0
2050609,4,3,11,0
962826,6,4,21,0
2747143,7,9,35,1
912522,10,6,12,1
853692,3,5,26,0
1211157,3,3,19,0
1364532,10,9,45,0
471240,6,5,7,0
3909744,12,5,47,0
994789,3,4,7,0
3157092,2,4,26,0
2263573,8,1,40,0
575893,5,7,5,0
2305363,1,9,21,0
4431514,3,3,14,0
4198887,10,2,4,1
1257094,8,3,23,0
2271192,4,1,42,0
718406,7,6,20,0
3718866,10,7,15,1
4662338,12,2,45,1
2903406,2,8,29,0
1083255,7,6,8,0
3102766,5,4,41,0
590677,5,5,48,0
3144235,6,8,19,0
1221459,9,3,48,0
2909653,6,3,39,0
2016197,12,4,46,1
437952,8,1,28,0
2259373,7,9,46,0
4197703,9,8,27,1
1080117,4,8,4,0
2946818,2,6,15,0
2407821,7,7,35,0
575134,6,6,37,0
294761,1,9,1,0
2980098,11,3,3,0
3021820,9,3,47,1
114323,9,3,24,0
1287715,12,3,27,0
1004480,2,9,40,0
2382811,3,4,36,0
904016,5,7,34,0
914909,5,9,29,0
1100493,1,7,24,0
332762,8,9,24,1
1655118,12,3,42,1
2933427,8,4,4,1
1466012,4,8,3,0
621650,7,6,34,0
4526576,11,5,49,0
435925,10,4,23,0
2913793,3,8,23,1
4959047,6,1,45,1
3807974,10,9,5,0
453081,10,1,31,0
2449105,12,8,41,1
428892,9,4,6,0
4249591,1,9,37,1
3204240,5,5,10,1
706702,4,3,40,0
3304600,8,9,7,0
2035296,11,9,39,0
2240222,12,4,38,0
3799783,1,4,21,0
2769269,9,8,20,0
4852116,6,2,3,1
2374797,4,9,22,0
836667,12,6,47,0
1403649,9,9,4,0
1762503,11,8,28,0
3035418,5,7,12,0
3659736,5,1,38,1
1434418,12,3,36,0
436594,5,2,47,0
2919760,1,5,41,0
3856503,1,5,5,1
3887247,8,5,13,1
1142501,12,4,23,0
187023,8,5,30,0
1185964,12,3,37,1
4776599,6,1,25,1
1533624,12,5,48,0
2205748,11,9,27,1
2006109,4,9,14,0
3095179,2,4,48,1
3975282,2,3,47,0
923172,9,1,36,0
3735540,5,2,39,0
572244,4,8,16,0
4923594,10,1,22,1
4113309,1,8,21,0
1112636,7,7,21,0
1836921,3,8,8,0
879735,6,6,49,0
3386007,5,9,16,0
3880375,5,3,31,1
4579788,11,4,42,1
2612469,5,6,10,1
3136176,1,8,32,0
3345374,1,5,34,0
4933680,3,3,9,1
3731262,12,6,17,1
4683078,10,4,11,1
2659089,4,9,32,0
2558749,5,3,10,0
964228,2,4,22,0
1003959,8,7,17,0
2239415,11,7,4,0
1677781,11,4,48,0
3419538,2,6,47,0
3292374,9,3,25,0
395266,2,6,21,0
4006679,9,2,37,1
1588601,7,8,38,0
2627855,8,2,49,1
3121475,11,7,1,1
4587358,2,9,25,0
4053484,7,1,36,1
1157955,12,8,17,1
3852010,6,7,41,0
1982728,4,6,24,0
1949492,7,6,2,0
2411632,4,6,40,1
1464397,2,9,15,0
3227993,10,2,32,1
3181209,12,1,39,1
1273520,7,6,6,0
4107893,8,8,1,0
3267635,2,3,47,1
2350119,5,1,23,0
1949443,1,9,39,0
3498503,7,1,17,0
1489758,8,3,34,0
1855468,6,8,41,0
3477975,5,3,29,0
176108,6,4,9,0
3210110,2,8,13,0
3280019,1,1,6,0
1757692,7,6,6,0
2130154,7,1,20,1
2294702,10,1,3,0
3427778,11,8,17,1
2580034,10,4,49,0
4582131,2,1,12,0
2742755,2,7,48,0
438349,1,5,47,0
1112729,10,5,45,0
3174071,8,1,1,0
3436501,8,6,17,0
2029079,1,9,3,0
4638334,12,9,26,1
3572905,11,8,15,0
126077,8,5,36,0
4377819,9,1,32,1
1305564,4,9,32,0
1958327,1,1,4,0
175885,1,8,18,0
591656,3,5,49,0
720688,5,3,19,0
2335166,5,7,43,0
4474507,9,7,35,0
2101531,10,9,40,1
2842427,12,7,14,0
2970803,2,3,33,0
3407679,2,1,14,0
4440020,6,8,34,0
2731719,9,3,4,1
940695,1,8,24,0
4244430,9,8,29,1
888761,9,5,19,0
550315,9,1,6,0
2464472,5,7,33,0
1349445,9,5,49,0
4985730,11,8,40,1
548716,4,9,19,0
3191069,2,7,1,0
3371127,6,7,5,0
2609272,4,1,27,0
2326106,6,4,16,1
2052324,3,2,6,0
4377021,6,2,40,0
3374323,2,2,13,0
4001416,2,4,48,1
544592,9,1,35,1
3295886,7,4,19,0
3904261,3,2,12,0
3628226,11,5,16,1
2079454,1,3,43,0
2477540,8,8,10,0
1765630,6,4,25,0
368408,7,1,20,0
518276,9,1,31,0
2204697,5,3,4,0
561411,1,9,44,0
2972808,12,7,23,1
3167172,10,2,2,0
934377,7,9,22,0
4285042,5,2,37,0
1948739,3,3,8,0
1279336,12,2,7,1
1067433,9,3,14,0
4711029,1,6,3,0
2811089,1,9,16,0
3728086,1,9,19,0
1631530,3,7,18,0
2137258,12,3,16,0
4542816,6,4,8,1
